date,mom
194610,0.97
194611,0.20
194612,-0.10
194701,-6.44
194702,-0.49
194703,4.06
194704,5.05
194705,3.33
194706,-1.85
194707,-3.42
194708,3.38
194709,-0.02
194710,1.34
194711,4.23
194712,3.60
194801,-4.29
194802,1.47
194803,-0.19
194804,4.06
194805,2.38
194806,3.99
194807,-1.58
194808,0.23
194809,-1.26
194810,2.79
194811,0.60
194812,4.66
194901,-2.92
194902,-0.41
194903,-0.87
194904,3.06
194905,3.04
194906,-1.28
194907,-1.54
194908,1.70
194909,-1.42
194910,0.00
194911,1.27
194912,-0.78
195001,-2.32
195002,1.36
195003,1.54
195004,0.33
195005,0.38
195006,-1.66
195007,-0.47
195008,3.21
195009,-0.13
195010,1.42
195011,3.59
195012,4.97
195101,2.00
195102,-1.58
195103,-2.95
195104,6.02
195105,-0.93
195106,-2.39
195107,7.24
195108,1.00
195109,0.56
195110,-0.31
195111,0.63
195112,1.70
195201,1.37
195202,-0.75
195203,1.65
195204,-2.04
195205,0.49
195206,1.50
195207,-0.52
195208,0.31
195209,1.76
195210,2.75
195211,0.44
195212,1.51
195301,0.72
195302,0.86
195303,0.08
195304,1.85
195305,0.94
195306,-0.01
195307,-0.31
195308,2.21
195309,2.88
195310,0.27
195311,1.95
195312,5.19
195401,-5.74
195402,1.03
195403,2.20
195404,4.98
195405,-1.99
195406,3.52
195407,0.44
195408,-0.64
195409,1.54
195410,0.96
195411,1.93
195412,-1.41
195501,1.36
195502,1.09
195503,1.03
195504,0.09
195505,0.56
195506,4.66
195507,-1.23
195508,1.79
195509,1.77
195510,-0.50
195511,2.67
195512,-1.33
195601,-1.48
195602,1.97
195603,3.59
195604,2.57
195605,-1.62
195606,2.71
195607,2.52
195608,-0.69
195609,-0.76
195610,2.46
195611,3.41
195612,3.81
195701,-3.05
195702,0.31
195703,-0.18
195704,0.96
195705,0.44
195706,0.77
195707,-0.07
195708,0.49
195709,0.62
195710,1.94
195711,1.24
195712,7.79
195801,-7.63
195802,3.75
195803,-1.85
195804,1.85
195805,-1.82
195806,-0.87
195807,-3.62
195808,0.28
195809,-1.13
195810,3.12
195811,1.57
195812,-0.65
195901,-0.24
195902,3.40
195903,0.13
195904,3.15
195905,1.50
195906,2.91
195907,-0.32
195908,-0.95
195909,0.85
195910,3.48
195911,2.26
195912,0.99
196001,-3.49
196002,3.86
196003,1.43
196004,2.81
196005,4.81
196006,0.86
196007,-0.78
196008,1.92
196009,0.31
196010,1.25
196011,3.64
196012,1.39
196101,-3.98
196102,0.98
196103,4.51
196104,3.52
196105,-1.57
196106,0.37
196107,0.25
196108,1.65
196109,0.83
196110,3.13
196111,1.34
196112,-2.24
196201,-2.07
196202,-1.02
196203,1.83
196204,2.89
196205,0.38
196206,6.45
196207,0.55
196208,-0.58
196209,3.95
196210,0.75
196211,-7.17
196212,5.88
196301,-2.10
196302,2.52
196303,1.56
196304,-0.08
196305,0.37
196306,1.17
196307,1.00
196308,1.03
196309,0.16
196310,3.14
196311,-0.75
196312,1.70
196401,1.06
196402,0.24
196403,0.72
196404,-0.60
196405,2.54
196406,0.45
196407,-0.37
196408,-0.19
196409,-0.39
196410,0.08
196411,1.08
196412,-0.69
196501,-1.28
196502,0.30
196503,0.10
196504,2.54
196505,0.54
196506,-3.12
196507,4.10
196508,2.58
196509,3.36
196510,3.45
196511,4.42
196512,0.09
196601,5.41
196602,4.58
196603,1.34
196604,6.18
196605,-4.69
196606,3.28
196607,-1.39
196608,-2.11
196609,-1.73
196610,-5.13
196611,5.73
196612,1.07
196701,-6.75
196702,3.56
196703,1.42
196704,0.64
196705,0.67
196706,6.03
196707,-1.07
196708,-1.41
196709,2.55
196710,3.66
196711,1.29
196712,3.23
196801,-4.64
196802,-3.41
196803,3.18
196804,5.15
196805,3.73
196806,-1.92
196807,-0.84
196808,1.88
196809,-0.67
196810,-1.52
196811,1.73
196812,0.11
196901,-0.15
196902,-2.46
196903,3.95
196904,1.17
196905,1.68
196906,-2.22
196907,1.64
196908,2.13
196909,2.53
196910,-4.32
196911,3.60
196912,5.05
197001,0.63
197002,0.12
197003,-0.29
197004,-0.73
197005,-2.73
197006,5.78
197007,-2.94
197008,-6.50
197009,-8.92
197010,9.61
197011,2.89
197012,-2.19
197101,-6.71
197102,0.81
197103,-1.21
197104,1.32
197105,0.89
197106,2.72
197107,-2.37
197108,3.51
197109,2.09
197110,0.46
197111,1.48
197112,-0.68
197201,0.24
197202,2.70
197203,2.91
197204,2.90
197205,3.19
197206,1.93
197207,2.75
197208,-5.34
197209,1.75
197210,0.75
197211,-5.14
197212,4.98
197301,3.71
197302,2.12
197303,3.62
197304,6.40
197305,7.09
197306,4.31
197307,-11.69
197308,3.42
197309,-7.03
197310,6.75
197311,8.63
197312,10.39
197401,-8.82
197402,0.14
197403,-0.99
197404,2.00
197405,-0.26
197406,2.37
197407,3.01
197408,3.00
197409,4.32
197410,-0.50
197411,2.17
197412,2.95
197501,-13.89
197502,-0.55
197503,-1.99
197504,1.34
197505,-0.47
197506,0.06
197507,0.42
197508,-0.13
197509,0.32
197510,-0.14
197511,-0.45
197512,-0.12
197601,4.46
197602,0.36
197603,0.19
197604,0.50
197605,-1.10
197606,-0.42
197607,-0.12
197608,-0.85
197609,0.24
197610,-0.48
197611,2.90
197612,0.77
197701,3.98
197702,0.35
197703,0.49
197704,4.22
197705,2.01
197706,1.77
197707,0.31
197708,-1.78
197709,2.06
197710,-0.13
197711,2.19
197712,1.56
197801,-0.72
197802,1.90
197803,1.37
197804,0.85
197805,2.85
197806,2.78
197807,4.22
197808,2.82
197809,-3.11
197810,-8.39
197811,5.52
197812,3.05
197901,-1.24
197902,-1.06
197903,2.88
197904,0.81
197905,-0.20
197906,0.82
197907,-1.09
197908,-0.23
197909,5.34
197910,2.12
197911,7.96
197912,4.78
198001,7.51
198002,7.88
198003,-9.59
198004,-0.42
198005,-1.11
198006,1.59
198007,0.37
198008,3.19
198009,5.44
198010,7.32
198011,15.24
198012,-6.65
198101,-7.94
198102,-1.39
198103,0.74
198104,-0.96
198105,3.75
198106,-5.90
198107,-2.52
198108,-1.12
198109,1.98
198110,4.07
198111,-0.27
198112,1.32
198201,1.73
198202,5.00
198203,2.93
198204,-0.41
198205,2.55
198206,5.00
198207,4.47
198208,-3.52
198209,4.17
198210,0.03
198211,5.89
198212,0.02
198301,-1.70
198302,3.83
198303,0.93
198304,1.80
198305,-1.59
198306,1.78
198307,-3.13
198308,-6.04
198309,-0.10
198310,-4.56
198311,-0.09
198312,0.74
198401,-2.49
198402,0.19
198403,1.09
198404,2.05
198405,1.52
198406,-0.70
198407,2.93
198408,-5.69
198409,3.67
198410,3.21
198411,1.70
198412,1.54
198501,-6.90
198502,1.82
198503,1.68
198504,3.06
198505,4.00
198506,3.63
198507,-3.94
198508,1.82
198509,1.48
198510,4.88
198511,-0.40
198512,-0.13
198601,2.96
198602,2.78
198603,2.45
198604,-0.50
198605,2.02
198606,5.16
198607,1.80
198608,-5.01
198609,-5.86
198610,2.69
198611,-0.32
198612,0.40
198701,2.10
198702,-2.17
198703,1.60
198704,0.26
198705,-0.68
198706,-0.20
198707,2.67
198708,-0.87
198709,0.71
198710,-7.86
198711,-1.15
198712,5.83
198801,-7.58
198802,-1.54
198803,0.63
198804,2.25
198805,0.64
198806,-2.91
198807,0.63
198808,0.33
198809,0.24
198810,1.31
198811,0.42
198812,0.42
198901,-0.14
198902,0.94
198903,3.55
198904,1.69
198905,1.56
198906,0.65
198907,5.44
198908,-0.14
198909,3.40
198910,1.37
198911,2.58
198912,2.81
199001,-3.28
199002,-0.53
199003,1.65
199004,2.40
199005,3.05
199006,2.43
199007,5.93
199008,1.78
199009,5.53
199010,6.73
199011,-5.62
199012,0.16
199101,-6.53
199102,-4.73
199103,2.83
199104,-2.40
199105,-0.10
199106,0.46
199107,4.31
199108,1.63
199109,1.73
199110,3.23
199111,1.26
199112,8.30
199201,-2.51
199202,-0.58
199203,-0.36
199204,-2.60
199205,0.13
199206,-0.61
199207,1.44
199208,-0.51
199209,1.43
199210,2.71
199211,-0.34
199212,4.44
199301,4.83
199302,3.10
199303,3.74
199304,0.33
199305,0.29
199306,4.58
199307,3.24
199308,2.58
199309,3.41
199310,-2.67
199311,-4.71
199312,2.28
199401,0.02
199402,-0.29
199403,-1.33
199404,0.41
199405,-2.15
199406,-0.82
199407,0.19
199408,1.55
199409,1.32
199410,1.43
199411,-0.20
199412,3.50
199501,-1.83
199502,-0.36
199503,0.38
199504,1.80
199505,-0.43
199506,2.90
199507,2.53
199508,0.09
199509,2.71
199510,4.12
199511,-0.64
199512,2.54
199601,0.57
199602,0.58
199603,-1.88
199604,-0.91
199605,1.56
199606,1.01
199607,-0.11
199608,-0.05
199609,2.69
199610,3.91
199611,-2.23
199612,0.61
199701,1.95
199702,-2.05
199703,0.97
199704,4.92
199705,-5.16
199706,2.62
199707,3.81
199708,-2.55
199709,1.45
199710,-0.38
199711,0.29
199712,3.95
199801,0.11
199802,-1.14
199803,2.15
199804,0.78
199805,1.88
199806,7.26
199807,3.68
199808,1.88
199809,-0.71
199810,-5.36
199811,1.16
199812,8.99
199901,3.04
199902,-0.16
199903,-1.29
199904,-9.06
199905,-5.28
199906,4.89
199907,1.52
199908,2.92
199909,6.44
199910,5.48
199911,5.62
199912,13.19
200001,1.86
200002,18.36
200003,-6.39
200004,-8.58
200005,-9.08
200006,16.60
200007,-0.11
200008,5.71
200009,2.18
200010,-4.63
200011,-2.41
200012,6.70
200101,-25.06
200102,12.51
200103,8.35
200104,-7.97
200105,2.12
200106,0.35
200107,5.47
200108,5.54
200109,11.53
200110,-8.41
200111,-8.58
200112,-0.02
200201,3.69
200202,6.76
200203,-1.67
200204,7.96
200205,2.97
200206,6.15
200207,3.34
200208,1.77
200209,9.09
200210,-5.30
200211,-16.17
200212,9.65
200301,1.62
200302,1.25
200303,1.61
200304,-9.46
200305,-10.77
200306,-1.06
200307,-0.31
200308,-0.56
200309,-0.19
200310,3.73
200311,1.62
200312,-5.71
200401,2.60
200402,-1.09
200403,0.21
200404,-5.39
200405,1.61
200406,2.10
200407,-2.29
200408,-1.55
200409,5.24
200410,-1.52
200411,3.23
200412,-2.84
200501,3.21
200502,3.16
200503,0.54
200504,-0.85
200505,0.43
200506,2.05
200507,-0.01
200508,2.27
200509,3.46
200510,-1.28
200511,0.25
200512,0.77
200601,2.68
200602,-1.84
200603,1.26
200604,0.61
200605,-3.65
200606,1.49
200607,-2.21
200608,-3.47
200609,-0.94
200610,-0.24
200611,-1.01
200612,0.84
200701,0.21
200702,-1.35
200703,2.47
200704,-0.16
200705,-0.26
200706,0.38
200707,2.80
200708,0.11
200709,4.59
200710,4.96
200711,0.93
200712,6.52
200801,-7.89
200802,6.14
200803,4.10
200804,-0.20
200805,3.21
200806,12.54
200807,-5.15
200808,-4.05
200809,0.35
200810,7.79
200811,7.11
200812,-5.07
200901,-1.83
200902,4.18
200903,-11.38
200904,-34.39
200905,-12.44
200906,5.29
200907,-5.36
200908,-8.84
200909,-4.93
200910,2.65
200911,0.29
200912,2.91
201001,-5.38
201002,3.60
201003,3.66
201004,3.22
201005,-0.13
201006,-3.00
201007,1.88
201008,-0.19
201009,1.35
201010,1.64
201011,2.53
201012,-3.19
201101,-0.32
201102,2.03
201103,3.51
201104,0.07
201105,-0.56
201106,1.78
201107,0.08
201108,-0.31
201109,-2.55
201110,-1.42
201111,3.99
201112,1.94
201201,-7.97
201202,-0.30
201203,1.50
201204,3.83
201205,6.60
201206,-1.12
201207,3.07
201208,-2.49
201209,-1.02
201210,0.10
201211,0.38
201212,-2.97
201301,-1.88
201302,1.31
201303,1.94
201304,0.25
201305,-1.80
201306,0.59
201307,1.74
201308,0.05
201309,2.97
201310,0.16
201311,0.40
201312,0.07
201401,1.72
201402,2.08
201403,-3.30
201404,-3.85
201405,1.15
201406,0.68
201407,-0.24
201408,0.82
201409,0.53
201410,0.00
201411,1.05
201412,1.06
201501,3.87
201502,-2.84
201503,2.98
201504,-7.37
201505,6.01
201506,3.04
201507,10.28
201508,-2.07
201509,5.32
201510,-3.97
201511,2.28
201512,3.44
201601,1.37
201602,-4.09
201603,-5.14
201604,-6.23
201605,1.94
201606,4.21
201607,-3.05
201608,-3.09
201609,-0.56
201610,0.65
201611,-4.22
201612,-0.36
201701,-0.97
201702,-1.66
201703,-0.92
201704,0.53
201705,1.47
201706,-0.25
201707,1.63
201708,3.57
201709,-1.20
201710,4.30
201711,-0.75
201712,-1.60
201801,3.93
201802,3.98
201803,-1.26
201804,0.29
201805,3.76
201806,-2.43
201807,-1.61
201808,5.30
201809,-0.08
